,Unnamed: 0,# of alphabetic,# of digits,# of numbers,% constraining,% litigious,% modal moderate,% modal strong,% modal-weak,% negative,% positive,% uncertainty,average word length,avg # of syllables per word,cik,co_conm,co_tic,company name,conformed period of report,date as of change,excess_return,file name,file size,filed as of date,number of words,vocabulary
8,8,407218,11048,3623,0,0,0,0,0,1.657622394211666,5.076653915725172,0,4.8700590101711,0,101829,RAYTHEON TECHNOLOGIES CORP,rtx,UNITED TECHNOLOGIES CORP /DE/,20161231,20170209,0.005811150641140017,../Data/filtered_textdata/2017/QTR1/20170209_10-K_edgar_data_101829_0000101829-17-000007_1.txt,529893,2017-02-09,33723,1100
9,9,288041,8522,3066,0,0,0,0,0,1.559769870019178,4.871084594076284,0,4.965991902834007,0,34088,EXXON MOBIL CORP,xom,EXXON MOBIL CORP,20161231,20170411,-3.373270568462084e-05,../Data/filtered_textdata/2017/QTR1/20170222_10-K_edgar_data_34088_0000034088-17-000017_1.txt,379508,2017-02-22,23465,1047
10,10,198508,6779,2232,0,0,0,0,0,1.864526787821572,5.481472740146331,0,4.702147746046731,0,354950,HOME DEPOT INC,hd,HOME DEPOT INC,20170129,20170323,-0.0128954712267901,../Data/filtered_textdata/2017/QTR1/20170323_10-K_edgar_data_354950_0000354950-17-000005_1.txt,261006,2017-03-23,16948,932
11,11,280203,7730,2570,0,0,0,0,0,2.640932199577091,5.259369235614344,0,4.845278265172988,0,200406,JOHNSON & JOHNSON,jnj,JOHNSON & JOHNSON,20170101,20170227,0.002455975897698729,../Data/filtered_textdata/2017/QTR1/20170227_10-K_edgar_data_200406_0000200406-17-000006_1.txt,366757,2017-02-27,22227,1037
12,12,511228,12109,4307,0,0,0,0,0,2.022498519834222,5.00177619893428,0,4.58292480757845,0,21344,COCA-COLA CO,ko,COCA COLA CO,20161231,20170224,0.001511051293869562,../Data/filtered_textdata/2017/QTR1/20170224_10-K_edgar_data_21344_0000021344-17-000009_1.txt,661339,2017-02-24,42225,1198
13,13,371198,9013,3039,0,0,0,0,0,1.406234305420698,5.748819767636522,0,4.725650383366257,0,732712,VERIZON COMMUNICATIONS INC,vz,VERIZON COMMUNICATIONS INC,20161231,20170221,0.01585087620118615,../Data/filtered_textdata/2017/QTR1/20170221_10-K_edgar_data_732712_0001193125-17-050292_1.txt,473933,2017-02-21,29867,1046
14,14,1096758,15916,5596,0,0,0,0,0,2.207790748626451,5.329033852791478,0,4.649596081030976,0,886982,GOLDMAN SACHS GROUP INC,gs,GOLDMAN SACHS GROUP INC,20161231,20170224,0.001982016480102055,../Data/filtered_textdata/2017/QTR1/20170227_10-K_edgar_data_886982_0001193125-17-056804_1.txt,1393837,2017-02-27,89003,1434
15,15,316856,6598,2198,0,0,0,0,0,1.980012022843402,5.387736699729487,0,4.707356477306883,0,50863,INTEL CORP,intc,INTEL CORP,20161231,20170217,-0.01580074141250308,../Data/filtered_textdata/2017/QTR1/20170217_10-K_edgar_data_50863_0000050863-17-000012_1.txt,411922,2017-02-17,26616,1147
16,16,591428,12553,4351,0,0,0,0,0,2.37791932059448,5.32403194823577,0,4.805499949448994,0,310158,MERCK & CO,mrk,"MERCK & CO., INC.",20161231,20170228,0.003178346558505423,../Data/filtered_textdata/2017/QTR1/20170228_10-K_edgar_data_310158_0000310158-17-000010_1.txt,765164,2017-02-28,49455,1330
17,17,496741,13939,4607,0,0,0,0,0,2.059674634632687,5.454368601512535,0,4.855093256814921,0,66740,3M CO,mmm,3M CO,20161231,20170209,0.01146932979753073,../Data/filtered_textdata/2017/QTR1/20170209_10-K_edgar_data_66740_0001558370-17-000479_1.txt,637190,2017-02-09,41123,1238
18,18,459170,14194,4872,0,0,0,0,0,2.163713639123475,5.12502069879119,0,4.786333278136556,0,40545,GENERAL ELECTRIC CO,ge,GENERAL ELECTRIC CO,20161231,20170224,-0.00754298421891559,../Data/filtered_textdata/2017/QTR1/20170224_10-K_edgar_data_40545_0000040545-17-000010_1.txt,583223,2017-02-24,36234,1239
19,19,711689,15334,4829,0,0,0,0,0,2.28749629784491,5.804979180821966,0,4.819003815397481,0,78003,PFIZER INC,pfe,PFIZER INC,20161231,20170223,-0.005782892410142057,../Data/filtered_textdata/2017/QTR1/20170223_10-K_edgar_data_78003_0000078003-17-000014_1.txt,933736,2017-02-23,57399,1391
20,20,465437,8967,3033,0,0,0,0,0,2.412833438353287,5.21424070573409,0,4.881668767065743,0,18230,CATERPILLAR INC,cat,CATERPILLAR INC,20161231,20170215,-0.01687768929164322,../Data/filtered_textdata/2017/QTR1/20170215_10-K_edgar_data_18230_0000018230-17-000041_1.txt,606965,2017-02-15,38088,1214
21,21,609159,9063,3324,0,0,0,0,0,2.237382205006649,5.474937850494306,0,4.754331194234068,0,4962,AMERICAN EXPRESS CO,axp,AMERICAN EXPRESS CO,20161231,20170217,-0.003286630332828492,../Data/filtered_textdata/2017/QTR1/20170217_10-K_edgar_data_4962_0001193125-17-047588_1.txt,777094,2017-02-17,51891,1293
