file name,"file size,","number of words,",weighted-FIN-NEG,weighted-H4N-INF
D:/CHX/fall2020/NLP/HW/1/all\dis20191120_10-K_edgar_data_1744489_0001744489-19-000225_1.txt,472126,58317,0.15899283,0.092908749
D:/CHX/fall2020/NLP/HW/1/all\DU PONT (E I) DE NEMOURS20100217_10-K_edgar_data_30554_0001047469-10-000954_1.txt,377982,48588,0.218018771,0.116048073
D:/CHX/fall2020/NLP/HW/1/all\DU PONT (E I) DE NEMOURS20110208_10-K_edgar_data_30554_0001047469-11-000602_1.txt,342794,43236,0.201380236,0.111414502
D:/CHX/fall2020/NLP/HW/1/all\DU PONT (E I) DE NEMOURS20120209_10-K_edgar_data_30554_0000030554-12-000005_1.txt,327065,41369,0.149312612,0.093270356
D:/CHX/fall2020/NLP/HW/1/all\DU PONT (E I) DE NEMOURS20130207_10-K_edgar_data_30554_0000030554-13-000006_1.txt,378738,48348,0.186006143,0.103747848
D:/CHX/fall2020/NLP/HW/1/all\DU PONT (E I) DE NEMOURS20140205_10-K_edgar_data_30554_0000030554-14-000002_1.txt,382185,49259,0.184766099,0.096112496
D:/CHX/fall2020/NLP/HW/1/all\DU PONT (E I) DE NEMOURS20150205_10-K_edgar_data_30554_0000030554-15-000004_1.txt,326517,41111,0.186553025,0.094793676
D:/CHX/fall2020/NLP/HW/1/all\DU PONT (E I) DE NEMOURS20160204_10-K_edgar_data_30554_0000030554-16-000106_1.txt,628840,83224,0.238995323,0.119106198
D:/CHX/fall2020/NLP/HW/1/all\DU PONT (E I) DE NEMOURS20170202_10-K_edgar_data_30554_0000030554-17-000004_1.txt,577294,76471,0.249377695,0.12265419
D:/CHX/fall2020/NLP/HW/1/all\DU PONT (E I) DE NEMOURS20180215_10-K_edgar_data_30554_0000030554-18-000002_1.txt,617826,81765,0.238700343,0.113011514
D:/CHX/fall2020/NLP/HW/1/all\DUPONT DE NEMOURS INC20180215_10-K_edgar_data_1666700_0001666700-18-000009_1.txt,737726,91731,0.205102861,0.099689227
D:/CHX/fall2020/NLP/HW/1/all\EXXON MOBIL CORP20100226_10-K_edgar_data_34088_0001193125-10-042929_1.txt,421751,52860,0.150030788,0.089346004
D:/CHX/fall2020/NLP/HW/1/all\EXXON MOBIL CORP20110225_10-K_edgar_data_34088_0001193125-11-047394_1.txt,328559,41170,0.145528125,0.10033111
D:/CHX/fall2020/NLP/HW/1/all\EXXON MOBIL CORP20120224_10-K_edgar_data_34088_0001193125-12-078102_1.txt,412203,51767,0.185749329,0.107106193
D:/CHX/fall2020/NLP/HW/1/all\EXXON MOBIL CORP20130227_10-K_edgar_data_34088_0000034088-13-000011_1.txt,338764,43643,0.178175222,0.103154915
D:/CHX/fall2020/NLP/HW/1/all\EXXON MOBIL CORP20140226_10-K_edgar_data_34088_0000034088-14-000012_1.txt,425044,54238,0.207205325,0.116370362
D:/CHX/fall2020/NLP/HW/1/all\EXXON MOBIL CORP20150225_10-K_edgar_data_34088_0000034088-15-000013_1.txt,358729,44682,0.168640768,0.110943751
D:/CHX/fall2020/NLP/HW/1/all\EXXON MOBIL CORP20160224_10-K_edgar_data_34088_0000034088-16-000065_1.txt,495744,67988,0.134104345,0.093662756
D:/CHX/fall2020/NLP/HW/1/all\EXXON MOBIL CORP20170222_10-K_edgar_data_34088_0000034088-17-000017_1.txt,379508,48510,0.16610388,0.098498592
D:/CHX/fall2020/NLP/HW/1/all\EXXON MOBIL CORP20180228_10-K_edgar_data_34088_0000034088-18-000015_1.txt,405743,52397,0.181772127,0.104335852
D:/CHX/fall2020/NLP/HW/1/all\GENERAL ELECTRIC CO20100219_10-K_edgar_data_40545_0000040545-10-000010_1.txt,1490499,203888,0.230089441,0.108667286
D:/CHX/fall2020/NLP/HW/1/all\GENERAL ELECTRIC CO20110225_10-K_edgar_data_40545_0001193125-11-047479_1.txt,706014,92517,0.215393021,0.107747493
D:/CHX/fall2020/NLP/HW/1/all\GENERAL ELECTRIC CO20120224_10-K_edgar_data_40545_0000040545-12-000016_1.txt,579194,76606,0.204957022,0.102765547
D:/CHX/fall2020/NLP/HW/1/all\GENERAL ELECTRIC CO20130226_10-K_edgar_data_40545_0000040545-13-000036_1.txt,589764,78069,0.218309915,0.107738833
D:/CHX/fall2020/NLP/HW/1/all\GENERAL ELECTRIC CO20140227_10-K_edgar_data_40545_0000040554-14-000023_1.txt,615155,81742,0.214679182,0.111289377
D:/CHX/fall2020/NLP/HW/1/all\GENERAL ELECTRIC CO20150227_10-K_edgar_data_40545_0000040545-15-000030_1.txt,564075,74316,0.202070449,0.110856457
D:/CHX/fall2020/NLP/HW/1/all\GENERAL ELECTRIC CO20160226_10-K_edgar_data_40545_0000040545-16-000145_1.txt,636523,85458,0.184790129,0.116933882
D:/CHX/fall2020/NLP/HW/1/all\GENERAL ELECTRIC CO20170224_10-K_edgar_data_40545_0000040545-17-000010_1.txt,583223,77295,0.185029497,0.11580751
D:/CHX/fall2020/NLP/HW/1/all\GENERAL ELECTRIC CO20180223_10-K_edgar_data_40545_0000040545-18-000014_1.txt,1008797,133902,0.230367672,0.126282247
D:/CHX/fall2020/NLP/HW/1/all\GENERAL MOTORS CO20100407_10-K_edgar_data_1467858_0001193125-10-078119_1.txt,2615301,359607,0.184586376,0.100010842
D:/CHX/fall2020/NLP/HW/1/all\GENERAL MOTORS CO20110301_10-K_edgar_data_1467858_0001193125-11-051462_1.txt,1539160,201372,0.227542857,0.117589789
D:/CHX/fall2020/NLP/HW/1/all\GENERAL MOTORS CO20120227_10-K_edgar_data_1467858_0001467858-12-000014_1.txt,748020,94075,0.222919831,0.123132794
D:/CHX/fall2020/NLP/HW/1/all\GENERAL MOTORS CO20130215_10-K_edgar_data_1467858_0001467858-13-000025_1.txt,1298068,171327,0.26670139,0.119299211
D:/CHX/fall2020/NLP/HW/1/all\GENERAL MOTORS CO20140206_10-K_edgar_data_1467858_0001467858-14-000043_1.txt,679872,87338,0.222000326,0.122596129
D:/CHX/fall2020/NLP/HW/1/all\GENERAL MOTORS CO20150204_10-K_edgar_data_1467858_0001467858-15-000036_1.txt,513698,63052,0.290408935,0.130245323
D:/CHX/fall2020/NLP/HW/1/all\GENERAL MOTORS CO20160203_10-K_edgar_data_1467858_0001467858-16-000255_1.txt,454225,57255,0.285610219,0.129363135
D:/CHX/fall2020/NLP/HW/1/all\GENERAL MOTORS CO20170207_10-K_edgar_data_1467858_0001467858-17-000028_1.txt,423003,54159,0.279647945,0.138577288
D:/CHX/fall2020/NLP/HW/1/all\GENERAL MOTORS CO20180206_10-K_edgar_data_1467858_0001467858-18-000022_1.txt,446825,58604,0.278957161,0.138542944
D:/CHX/fall2020/NLP/HW/1/all\GOLDMAN SACHS GROUP INC20100301_10-K_edgar_data_886982_0000950123-10-018464_1.txt,1283324,175140,0.259131317,0.13158562
D:/CHX/fall2020/NLP/HW/1/all\GOLDMAN SACHS GROUP INC20110301_10-K_edgar_data_886982_0000950123-11-020067_1.txt,1182152,159261,0.268301577,0.135094606
D:/CHX/fall2020/NLP/HW/1/all\GOLDMAN SACHS GROUP INC20120228_10-K_edgar_data_886982_0001193125-12-085822_1.txt,1244638,170767,0.277267279,0.137112218
D:/CHX/fall2020/NLP/HW/1/all\GOLDMAN SACHS GROUP INC20130301_10-K_edgar_data_886982_0001193125-13-085474_1.txt,1543995,218065,0.255267942,0.126800856
D:/CHX/fall2020/NLP/HW/1/all\GOLDMAN SACHS GROUP INC20140228_10-K_edgar_data_886982_0001193125-14-073792_1.txt,1206914,166518,0.264718559,0.13005273
D:/CHX/fall2020/NLP/HW/1/all\GOLDMAN SACHS GROUP INC20150223_10-K_edgar_data_886982_0001193125-15-056785_1.txt,1372279,191726,0.26678699,0.126420904
D:/CHX/fall2020/NLP/HW/1/all\GOLDMAN SACHS GROUP INC20160222_10-K_edgar_data_886982_0001193125-16-470289_1.txt,1638408,229856,0.306427339,0.132386589
D:/CHX/fall2020/NLP/HW/1/all\GOLDMAN SACHS GROUP INC20170227_10-K_edgar_data_886982_0001193125-17-056804_1.txt,1393837,192808,0.29885653,0.130262564
D:/CHX/fall2020/NLP/HW/1/all\GOLDMAN SACHS GROUP INC20180226_10-K_edgar_data_886982_0001193125-18-056383_1.txt,2073356,295182,0.262874836,0.119023127
D:/CHX/fall2020/NLP/HW/1/all\gs20190226_10-K_edgar_data_886982_0001193125-19-050198_1.txt,958587,123574,0.292553043,0.131102137
D:/CHX/fall2020/NLP/HW/1/all\hd20190328_10-K_edgar_data_354950_0000354950-19-000010_1.txt,248930,32687,0.182929062,0.11237769
D:/CHX/fall2020/NLP/HW/1/all\HOME DEPOT INC20100325_10-K_edgar_data_354950_0001193125-10-067178_1.txt,207048,27149,0.188199119,0.078377539
D:/CHX/fall2020/NLP/HW/1/all\HOME DEPOT INC20110324_10-K_edgar_data_354950_0001193125-11-076501_1.txt,231321,30905,0.198481012,0.096043274
D:/CHX/fall2020/NLP/HW/1/all\HOME DEPOT INC20120322_10-K_edgar_data_354950_0000354950-12-000003_1.txt,195031,25449,0.15743486,0.078349449
