Date,vwretx,vwindx
20120502,-0.002157,1252.724
20120503,-0.010249,1239.885
20120504,-0.01604,1219.997
20120507,0.000493,1220.598
20120508,-0.005378,1214.034
20120509,-0.006304,1206.381
20120510,0.002711,1209.651
20120511,-0.002884,1206.162
20120514,-0.012269,1191.364
20120515,-0.006158,1184.027
20120516,-0.005136,1177.946
20120517,-0.016352,1158.685
20120518,-0.008361,1148.997
20120521,0.017977,1169.653
20120522,-0.000392,1169.195
20120523,0.002947,1172.641
20120524,0.000957,1173.763
20120525,-0.001606,1171.878
20120529,0.011223,1185.03
20120530,-0.015999,1166.071
20120531,-0.002152,1163.562
20120601,-0.025284,1134.143
20120604,-0.001086,1132.911
20120605,0.007986,1141.958
20120606,0.022847,1168.048
20120607,-0.001438,1166.368
20120608,0.007372,1174.967
20120611,-0.014286,1158.182
20120612,0.011764,1171.807
20120613,-0.007524,1162.991
20120614,0.009647,1174.21
20120615,0.010212,1186.202
20120618,0.002193,1188.802
20120619,0.011787,1202.815
20120620,-0.001499,1201.013
20120621,-0.023754,1172.484
20120622,0.007394,1181.153
20120625,-0.01585,1162.432
20120626,0.004945,1168.18
20120627,0.008874,1178.547
20120628,-0.002178,1175.98
20120629,0.02559,1206.073
20120702,0.003817,1210.678
20120703,0.008754,1221.276
20120705,-0.004094,1216.276
20120706,-0.010274,1203.78
20120709,-0.002271,1201.046
20120710,-0.008893,1190.366
20120711,-0.000524,1189.743
20120712,-0.004948,1183.856
20120713,0.015462,1202.161
20120716,-0.002549,1199.097
20120717,0.006844,1207.303
20120718,0.006304,1214.914
20120719,0.002713,1218.211
20120720,-0.010089,1205.92
20120723,-0.010134,1193.699
20120724,-0.009685,1182.139
20120725,0.00057,1182.813
20120726,0.015638,1201.31
20120727,0.019072,1224.221
20120730,-0.000884,1223.139
20120731,-0.00502,1216.999
20120801,-0.004749,1211.22
20120802,-0.007449,1202.198
20120803,0.019266,1225.36
20120806,0.003495,1229.643
20120807,0.006516,1237.655
20120808,-0.000135,1237.488
20120809,0.001321,1239.123
20120810,0.001878,1241.45
20120813,-0.00205,1238.904
20120814,-0.000111,1238.767
20120815,0.002599,1241.986
20120816,0.007918,1251.82
20120817,0.002731,1255.239
20120820,-0.000693,1254.37
20120821,-0.00255,1251.171
20120822,-0.000278,1250.823
20120823,-0.007548,1241.382
20120824,0.005535,1248.254
20120827,-0.000516,1247.609
20120828,0.000209,1247.87
20120829,0.000861,1248.944
20120830,-0.008048,1238.893
20120831,0.005757,1246.025
20120904,0.000662,1246.85
20120905,-0.000774,1245.885
20120906,0.019673,1270.395
20120907,0.00543,1277.293
20120910,-0.005759,1269.938
20120911,0.003362,1274.208
20120912,0.002309,1277.15
20120913,0.015234,1296.606
20120914,0.006177,1304.615
20120917,-0.004553,1298.675
20120918,-0.001893,1296.216
20120919,0.001301,1297.901
20120920,-0.002028,1295.27
20120921,0.0004,1295.787
20120924,-0.003125,1291.738
20120925,-0.011049,1277.465
20120926,-0.005849,1269.994
20120927,0.009986,1282.676
20120928,-0.004542,1276.85
20121001,0.00272,1280.323
20121002,0.001144,1281.788
